PM2_5,PM10,SO2,NO2,CO,O3,Speed,Direction,TEMP,RH,PSFC,lat,lon,AQI,Major pollutants,AQI-Difference,id,Group
29.19,22.85,3.09,3.15,2.9,16.5,7.16,-92,286.83,75.03,99025.48,19.01,108.99,29.19,PM2.5,0,51,277
33.84,26.04,3.14,3.07,2.9,16.98,7.56,-92,283.82,87.78,94921.02,19.01,109.13,33.84,PM2.5,0,52,277
38.64,30.14,3.03,3.27,2.9,15.57,6.27,-107,281.65,99.08,93630.19,19,109.27,38.64,PM2.5,0,53,277
38.07,30.05,3.24,3.31,2.9,16.47,5.42,-110,282.21,96.57,94778.73,19,109.41,38.07,PM2.5,0,54,277
38.34,30.31,3.3,3.53,3,16.16,4.68,-101,282.32,95.29,94749.09,18.99,109.55,38.34,PM2.5,0,55,277
40.31,31.69,3.25,4.17,3.1,14.47,3.28,-106,282.41,94.41,94882.78,18.99,109.69,40.31,PM2.5,0,56,277
40.37,31.87,3.54,4.47,3.1,15.03,2.82,-145,283.22,90.44,96103.45,18.98,109.83,40.37,PM2.5,0,57,-1
41.06,32.59,3.47,4.85,3.2,14.26,3.59,-178,284.21,86.02,97321.54,18.98,109.97,41.06,PM2.5,0,58,137
40.84,32.66,3.53,5.21,3.3,14.06,4.56,165,285.1,82.84,98709.48,18.97,110.11,40.84,PM2.5,0,59,1021
41.67,33.75,4.13,6.57,3.5,13.57,5,158,285.9,79.54,99961.68,18.96,110.25,41.67,PM2.5,0,60,1021
39.86,32.64,4.21,6.78,3.5,13.46,5.56,157,286.96,77.53,101071.37,18.96,110.39,39.86,PM2.5,0,61,1021
26.54,21.28,3.56,3.83,3,16.94,7.02,-122,287,72.33,101443.17,19.16,108.72,26.54,PM2.5,0,62,-1
26.81,21.26,3.53,3.55,3,17.6,6.26,-116,287.31,75.06,101051.12,19.15,108.86,26.81,PM2.5,0,63,277
28.74,22.56,3.46,3.33,3,17.63,7.67,-100,286.24,77.99,99455.02,19.15,109,28.74,PM2.5,0,64,277
32.71,25.45,3.35,3.34,3,16.84,8.04,-90,283.91,88.38,96497.94,19.14,109.14,32.71,PM2.5,0,65,713
35.19,27.08,3.48,3.48,3,16.93,6.01,-87,282.67,94.75,95404.7,19.14,109.28,35.19,PM2.5,0,66,713
36.86,29.11,3.48,3.9,3,15.76,4.67,-87,283.22,92.28,96394.53,19.13,109.42,36.86,PM2.5,0,67,713
38.77,30.71,3.5,4.15,3.1,15.35,4.33,-85,283.59,89.76,96830.53,19.13,109.56,38.77,PM2.5,0,68,713
40.84,32.29,3.5,4.52,3.1,14.82,3.2,-89,283.62,89.4,96859.3,19.12,109.7,40.84,PM2.5,0,69,713
41.89,33.16,3.66,4.91,3.2,14.87,1.87,-112,284.16,86.92,97612.8,19.11,109.84,41.89,PM2.5,0,70,-1
42.59,33.87,3.81,5.38,3.3,14.74,1.96,-168,284.73,84.37,98270.1,19.11,109.98,42.59,PM2.5,0,71,137
41.99,33.68,3.8,5.72,3.3,14.38,3.72,171,285.55,80.97,99338.9,19.1,110.12,41.99,PM2.5,0,72,137
41.34,33.6,4.22,6.76,3.5,14.22,4.69,167,286.7,76.83,100802.51,19.1,110.26,41.34,PM2.5,0,73,1021
38.17,31.4,4.1,6.55,3.5,14.26,5.18,164,287.35,75.31,101513.86,19.09,110.4,38.17,PM2.5,0,74,1021
32.09,27.01,3.69,4.51,3.2,17.68,5.6,166,287.85,77.53,101729.33,19.08,110.54,32.09,PM2.5,0,75,1021
26.24,21.18,3.57,3.79,3,17.49,7.94,-113,287.25,70.58,101546.08,19.29,108.72,26.24,PM2.5,0,76,277
27.2,21.72,3.67,3.91,3.1,17.29,7.07,-114,287.06,73.27,101294.47,19.28,108.86,27.2,PM2.5,0,77,277
28.57,22.46,3.76,3.77,3,18.01,7.12,-103,286.31,77.38,100097.3,19.28,109,28.57,PM2.5,0,78,277
31.43,24.59,3.72,3.77,3,17.62,6.91,-93,284.86,83.06,98314.56,19.27,109.14,31.43,PM2.5,0,79,277
33.24,26.27,3.68,3.96,3.1,16.66,5.69,-84,284.53,85.08,98064.41,19.27,109.28,33.24,PM2.5,0,80,713
35.39,28.33,3.74,4.24,3.1,16.05,4.71,-83,284.84,84.12,98495.11,19.26,109.43,35.39,PM2.5,0,81,713
38.13,30.44,3.82,4.51,3.1,15.72,4.13,-79,284.75,84.99,98454.5,19.26,109.57,38.13,PM2.5,0,82,713
40.69,32.4,3.95,4.98,3.2,15.36,2.99,-75,284.86,84.81,98753.92,19.25,109.71,40.69,PM2.5,0,83,713
42.67,34.02,4.12,5.54,3.3,15.14,1.78,-91,285.3,82.9,99373.84,19.25,109.85,42.67,PM2.5,0,84,713
43.49,34.82,4.17,6.01,3.4,14.84,1.86,-135,285.53,81.62,99482.6,19.24,109.99,43.49,PM2.5,0,85,-1
43.2,34.8,4.07,6.29,3.4,14.45,3.5,-163,285.9,79.41,99579.3,19.23,110.13,43.2,PM2.5,0,86,984
42.17,34.32,4.15,6.88,3.5,14.31,4.92,-175,286.77,75.93,100413.74,19.23,110.27,42.17,PM2.5,0,87,-1
36.93,30.58,4.09,6.4,3.4,14.96,5.34,178,287.57,74.48,101360.72,19.22,110.41,36.93,PM2.5,0,88,-1
32.36,27.43,3.66,4.54,3.2,17.45,5.68,-179,288.52,76.86,101713.02,19.21,110.55,32.36,PM2.5,0,89,-1
27.31,21.84,3.77,4.21,3.1,17.01,7.77,-105,287.04,69.63,101382.96,19.42,108.87,27.31,PM2.5,0,90,277
28.79,22.84,3.9,4.45,3.1,17.1,6.53,-102,286.88,72.97,100945.04,19.41,109.01,28.79,PM2.5,0,91,277
31.61,25.36,3.86,4.71,3.2,16.36,5.99,-94,286.42,74.83,100453.84,19.41,109.15,31.61,PM2.5,0,92,277
34.2,27.52,3.82,4.83,3.2,15.8,5.42,-88,286.06,77,99946.2,19.4,109.29,34.2,PM2.5,0,93,713
37.44,30.12,3.85,5.03,3.2,15.27,4.77,-86,285.66,79.45,99475.38,19.4,109.43,37.44,PM2.5,0,94,713
40.16,32.21,3.87,5.16,3.3,14.87,3.76,-80,285.58,80.94,99554.29,19.39,109.57,40.16,PM2.5,0,95,713
42.27,33.9,4.17,5.64,3.3,14.98,2.79,-75,285.66,81.63,99953.31,19.38,109.71,42.27,PM2.5,0,96,713
44.83,35.96,4.32,6.21,3.4,14.73,2.24,-88,285.72,81.56,99980.45,19.38,109.85,44.83,PM2.5,0,97,713
45.74,36.79,4.44,6.77,3.5,14.43,2.4,-116,285.97,80.1,99926.32,19.37,109.99,45.74,PM2.5,0,98,203
45.21,36.54,4.23,6.94,3.5,14.1,3.32,-144,286.39,77.62,100018.23,19.37,110.13,45.21,PM2.5,0,99,984
42.37,34.55,3.97,6.77,3.5,14.46,4.39,-160,286.86,75.83,100333.13,19.36,110.27,42.37,PM2.5,0,100,984
37.53,31.06,3.94,6.22,3.4,15.24,5.19,-169,287.43,74.46,100833.79,19.35,110.41,37.53,PM2.5,0,101,984
32.57,27.45,3.82,4.93,3.2,17.09,5.63,-171,288.06,75.65,101246.88,19.35,110.55,32.57,PM2.5,0,102,984
29.33,23.86,3.41,4.45,3.2,15.46,7.22,-95,287.16,68.88,101377.84,19.54,109.01,29.33,PM2.5,0,103,277
32.76,26.66,3.64,5.08,3.3,14.97,5.91,-97,287.25,71.08,101209.65,19.54,109.16,32.76,PM2.5,0,104,277
35.8,29.06,3.96,5.62,3.4,14.96,5,-93,286.79,72.12,100967.51,19.53,109.3,35.8,PM2.5,0,105,277
40.16,32.44,4.12,5.97,3.4,14.68,4.39,-92,286.47,74.81,100511.38,19.53,109.44,40.16,PM2.5,0,106,277
42.59,34.35,4.31,6.29,3.4,14.51,3.67,-93,286.13,76.79,100173.4,19.52,109.58,42.59,PM2.5,0,107,277
43.57,35.23,4.51,6.45,3.4,14.95,2.75,-95,286.01,78.93,100178.38,19.52,109.72,43.57,PM2.5,0,108,277
45.29,36.66,4.78,6.9,3.4,14.81,2.31,-100,286.16,79.47,100388.03,19.51,109.86,45.29,PM2.5,0,109,277
46.93,38.02,5.12,7.58,3.5,14.41,2.37,-110,286.4,78.92,100458.8,19.51,110,46.93,PM2.5,0,110,203
45.79,37.21,4.77,7.43,3.5,14.33,2.94,-128,286.86,76.19,100546.05,19.5,110.14,45.79,PM2.5,0,111,203
42.79,34.96,3.91,6.72,3.5,14.56,3.97,-145,287.35,74.14,100775.52,19.49,110.28,42.79,PM2.5,0,112,984
38.79,32.03,3.91,6.18,3.4,15.37,5.05,-157,287.6,73.99,100687.76,19.49,110.42,38.79,PM2.5,0,113,984
34.41,28.79,3.84,5.24,3.2,16.44,5.16,-167,287.76,75.64,100786.84,19.48,110.56,34.41,PM2.5,0,114,984
31.71,26.94,4.21,4.38,3.1,18.56,5.44,-168,288.63,76.63,101435.79,19.47,110.7,31.71,PM2.5,0,115,984
37.39,30.36,3.57,5.62,3.4,14.27,5.24,-87,287.06,69.06,101527.16,19.67,109.3,37.39,PM2.5,0,116,-1
39.04,31.64,3.86,5.83,3.3,14.98,4.56,-98,287.23,70.26,101105.44,19.66,109.44,39.04,PM2.5,0,117,277
40.86,33.09,4.2,6.2,3.4,15.17,4.12,-103,286.63,72.36,100526.3,19.66,109.58,40.86,PM2.5,0,118,203
41.46,33.67,4.26,6.18,3.3,15.61,3.37,-110,286.57,74.4,100414.94,19.65,109.72,41.46,PM2.5,0,119,203
43.23,35.19,4.71,6.75,3.4,15.56,2.74,-117,286.7,75.32,100637.27,19.64,109.87,43.23,PM2.5,0,120,203
46.53,37.89,5.48,7.87,3.5,14.97,2.2,-118,286.79,76.99,100799.9,19.64,110.01,46.53,PM2.5,0,121,203
46.26,37.75,5.15,7.68,3.5,14.86,2.44,-119,287.16,75.61,100945.07,19.63,110.15,46.26,PM2.5,0,122,203
42.73,35,4.06,6.64,3.4,15.25,3.49,-129,287.72,72.91,101096.28,19.62,110.29,42.73,PM2.5,0,123,203
39.14,32.32,3.87,5.97,3.3,15.69,4.68,-144,288.05,72.15,100972.78,19.62,110.43,39.14,PM2.5,0,124,984
35.26,29.44,3.8,5.12,3.2,16.57,5.06,-156,288.18,73.88,100931.29,19.61,110.57,35.26,PM2.5,0,125,984
33.77,28.58,4.34,4.71,3.1,17.98,5.09,-160,288.86,75.24,101390.33,19.6,110.71,33.77,PM2.5,0,126,984
31.83,27.37,4.21,3.94,3,19.37,6.03,-151,290.02,76.34,101708.41,19.6,110.85,31.83,PM2.5,0,127,984
30.94,25.3,3.24,4.15,3.1,17.56,5.61,-84,287.7,66.72,101747.81,19.8,109.31,30.94,PM2.5,0,128,-1
31.64,25.92,3.52,4.47,3.1,17.93,5.03,-99,288.02,66.94,101378.29,19.79,109.45,31.64,PM2.5,0,129,277
33.96,27.79,3.87,5.03,3.2,17.7,4.55,-102,287.3,68.91,100863.65,19.79,109.59,33.96,PM2.5,0,130,203
34.9,28.61,3.93,5.1,3.1,17.7,4.06,-112,287.34,70.33,100768.62,19.78,109.73,34.9,PM2.5,0,131,203
36.84,30.27,4.43,5.78,3.2,17.51,3.38,-119,287.38,71.09,100942.63,19.78,109.87,36.84,PM2.5,0,132,203
41.06,33.73,5.28,7.12,3.3,16.72,2.52,-123,287.38,73.19,101098.77,19.77,110.01,41.06,PM2.5,0,133,203
43.23,35.57,5.38,7.4,3.4,16.32,2.33,-117,287.51,74.22,101172.82,19.76,110.15,43.23,PM2.5,0,134,203
41.2,34,4.52,6.48,3.3,16.6,3.16,-116,287.93,72.75,101175.09,19.76,110.29,41.2,PM2.5,0,135,203
37.21,30.95,4.09,5.62,3.2,16.96,4.17,-128,288.39,71.19,101183.34,19.75,110.44,37.21,PM2.5,0,136,203
33.84,28.35,3.82,4.66,3.1,17.59,4.58,-142,288.54,71.95,101213.89,19.74,110.58,33.84,PM2.5,0,137,-1
32.63,27.66,4.18,4.39,3.1,18.21,5.32,-152,289.02,72.92,101415.3,19.74,110.72,32.63,PM2.5,0,138,984
30.74,26.46,4.18,3.86,3,19.37,6.21,-144,290.03,74.91,101593.31,19.73,110.86,30.74,PM2.5,0,139,984
27.73,24.31,4.1,3.1,2.9,21.56,7.26,-137,291,75.96,101678.62,19.72,111,27.73,PM2.5,0,140,-1
27.9,23.15,3.38,3.73,3,19.73,5.8,-106,288.53,65.34,101457.81,19.92,109.6,27.9,PM2.5,0,141,203
28.69,23.88,3.67,4.04,3,19.75,5.59,-117,288.72,65.52,101365.88,19.92,109.74,28.69,PM2.5,0,142,203
29.79,24.95,4.18,4.75,3,19.47,5.19,-122,288.69,66.06,101488.48,19.91,109.88,29.79,PM2.5,0,143,203
32.31,27.21,4.89,6.01,3.1,18.43,4.55,-126,288.65,67.45,101498.59,19.9,110.02,32.31,PM2.5,0,144,203
36.37,30.62,5.51,6.93,3.2,17.53,3.9,-123,288.33,70.05,101252.17,19.9,110.16,36.37,PM2.5,0,145,203
36.6,30.95,5.29,6.57,3.3,17.8,4.02,-116,288.59,70.47,101159.42,19.89,110.3,36.6,PM2.5,0,146,203
33.24,28.21,4.53,5.41,3.2,18.45,4.79,-120,289.11,69.02,101362.69,19.88,110.44,33.24,PM2.5,0,147,203
30.79,26.13,3.89,4.08,3,19.07,5.13,-128,289.35,69.28,101495.45,19.88,110.58,30.79,PM2.5,0,148,203
31.51,26.76,3.9,3.99,3.1,18.49,5.46,-139,289.31,70.58,101492.17,19.87,110.73,31.51,PM2.5,0,149,-1
28.7,24.88,4.07,3.71,3,19.48,6.4,-142,289.99,71.82,101556.87,19.86,110.87,28.7,PM2.5,0,150,-1
30.29,25.94,5.31,5.9,3.1,18.66,5.87,-134,289.57,64.76,101649.83,20.03,110.17,30.29,PM2.5,0,151,-1
31.73,27.33,5.78,6.34,3.2,18.63,5.67,-127,289.89,65.21,101563.36,20.02,110.31,31.73,PM2.5,0,152,203
28.03,24.4,4.89,5.03,3.1,19.56,5.98,-124,290.25,64.58,101682.32,20.02,110.45,28.03,PM2.5,0,153,203
26.36,23.02,4.05,3.58,3,19.53,5.96,-129,289.86,67.99,101682.53,20,110.73,26.36,PM2.5,0,154,-1
43.71,34.81,3.98,6.49,3.6,14.35,5.64,-170,286.26,44.72,101758.09,20.3,110.04,43.71,PM2.5,0,155,1695
36,29.21,4.3,5.41,3.2,17.48,4.58,-172,286.97,56.87,101491.42,20.3,110.18,36,PM2.5,0,156,1695
30.34,25.51,4.72,5.15,3.1,18.71,5.36,-148,288.65,61.43,101499.26,20.29,110.32,30.34,PM2.5,0,157,-1
44.54,35.49,4.16,6.8,3.7,14.52,5.77,-172,286.19,46.04,101300.49,20.43,110.05,44.54,PM2.5,0,158,1695
35.01,28.14,3.65,4.53,3.2,18.27,4.15,-153,287.14,59.56,100732.23,20.43,110.19,35.01,PM2.5,0,159,1695
29.37,24.21,3.61,3.94,3,18.98,4.96,-129,288.38,61.6,100907.26,20.42,110.33,29.37,PM2.5,0,160,-1
26.06,22.1,3.82,3.53,3,19.67,6.23,-136,289.24,61.13,101602.82,20.41,110.47,26.06,PM2.5,0,161,-1
52.39,41.85,4.21,8.02,4.2,11.29,6.5,-170,284.74,35.86,101355.5,20.57,109.91,52.39,PM2.5,0,162,1695
45.46,36.36,4.5,7.29,3.7,14.27,5.94,-179,285.34,44.08,100744.84,20.57,110.05,45.46,PM2.5,0,163,-1
34,27.5,3.86,4.38,3.1,18.79,4.21,-160,286.85,58.77,100428.39,20.56,110.2,34,PM2.5,0,164,1695
27.41,22.85,3.75,3.6,3,19.75,5.34,-120,288.87,61.94,100975.12,20.55,110.34,27.41,PM2.5,0,165,-1
25.26,21.48,3.85,3.4,2.9,19.85,6.48,-125,289.56,58.91,101687.95,20.55,110.48,25.26,PM2.5,0,166,-1
52.16,41.61,4.06,7.44,4.1,11.66,7.58,-162,284.27,30.52,101801.94,20.71,109.78,52.16,PM2.5,0,167,1695
52.19,41.92,4.63,8.68,4.2,11.19,6.84,-172,285.11,40.28,101401.5,20.71,109.92,52.19,PM2.5,0,168,1695
45.07,36.32,4.9,7.91,3.8,14.03,6.29,-176,285.57,44.39,101073.95,20.7,110.06,45.07,PM2.5,0,169,1695
32.61,26.69,4.19,4.8,3.2,18.57,5.15,-157,287.8,57.23,101118.34,20.69,110.2,32.61,PM2.5,0,170,1695
52.85,42.38,4.4,8.03,4.2,11.44,7.42,-156,284.45,34.24,101813.55,20.85,109.78,52.85,PM2.5,0,171,1695
52.64,42.53,5.07,9.45,4.2,10.95,6.93,-168,284.7,35.72,101693.73,20.84,109.92,52.64,PM2.5,0,172,1695
45.76,37.15,5.4,8.89,3.9,13.34,6.7,-169,285.78,40.75,101709.98,20.83,110.07,45.76,PM2.5,0,173,1695
32.73,27.07,4.68,5.8,3.2,17.65,5.96,-152,288.58,53.93,101781.62,20.83,110.21,32.73,PM2.5,0,174,1695
54.42,43.91,4.71,8.7,4.3,11.09,7.05,-150,283.86,34.88,101758.62,20.98,109.79,54.42,PM2.5,0,175,1695
54.18,44.08,5.49,10.47,4.3,10.24,6.6,-159,284.33,36.5,101714.77,20.97,109.93,54.18,PM2.5,0,176,1695
48.59,39.59,5.99,10.38,4,11.99,6.97,-158,284.98,34.34,101817.14,20.97,110.07,48.59,PM2.5,0,177,1695
55.93,45.32,4.92,9.08,4.4,10.94,6.79,-141,283.78,37.99,101741.39,21.11,109.79,55.93,PM2.5,0,178,5
56.85,46.56,5.81,11.41,4.5,9.31,6.4,-150,283.83,36.78,101637.2,21.11,109.94,56.85,PM2.5,0,179,1695
54.06,44.55,6.72,12.72,4.4,9.32,6.59,-148,283.64,29.43,101633.94,21.1,110.08,54.06,PM2.5,0,180,1695
48.73,40.25,7.17,12.12,4.1,11.05,7.15,-150,283.9,27.64,101731.45,21.09,110.22,48.73,PM2.5,0,181,1695
36.89,27.65,3.77,0.81,2.9,18.6,0.94,174,282.48,77.52,91042.59,21.29,101.34,36.89,PM2.5,0,182,-1
35.29,26.42,3.65,0.7,2.9,18.84,1.64,-51,282.71,78.21,89735.75,21.29,101.49,35.29,PM2.5,0,183,-1
35.57,26.61,3.63,0.67,2.9,18.51,2.64,-50,281.66,86.08,88297.1,21.3,101.63,35.57,PM2.5,0,184,-1
56.52,45.85,4.94,8.6,4.3,11.73,6.88,-134,284.3,43.1,101836.46,21.25,109.8,56.52,PM2.5,0,185,5
59.92,49.21,5.82,11.58,4.7,8.93,6.15,-144,283.4,39.39,101671.02,21.24,109.94,59.92,PM2.5,0,186,5
58.45,48.45,6.94,13.91,4.7,7.93,6.16,-141,283.65,37.91,101536.81,21.23,110.09,58.45,PM2.5,0,187,5
55.36,46.14,7.81,14.55,4.5,8.11,6.47,-137,283.25,30.44,101582.98,21.23,110.23,55.36,PM2.5,0,188,5
51.02,41.91,6.89,11.88,4.1,10.25,6.86,-145,283.02,27.37,101781.99,21.22,110.37,51.02,PM2.5,0,189,5
43.77,35.64,5.37,7.95,3.7,13.77,7.51,-147,284.66,37.38,101912.63,21.21,110.52,43.77,PM2.5,0,190,5
36.29,27.28,3.83,0.85,3,18.29,1.42,-177,282.53,77.55,92806.38,21.42,101.2,36.29,PM2.5,0,191,-1
35.87,27.1,3.97,1.08,3,17.92,1.05,-126,283.72,70.91,93263.7,21.42,101.34,35.87,PM2.5,0,192,-1
35.9,27.1,4.02,1.08,3,17.98,2.69,-82,282.57,76.59,90909.05,21.43,101.48,35.9,PM2.5,0,193,1292
36.21,27.26,3.96,0.96,3,17.99,2.98,-73,280.66,86.03,89261.2,21.43,101.63,36.21,PM2.5,0,194,-1
63.51,51.11,5.45,11.07,4.8,8.85,6.24,-137,283.08,39.2,101750.16,21.37,109.95,63.51,PM2.5,0,195,5
62.67,50.95,6.65,13.95,4.9,7.54,5.78,-139,283.45,38.44,101693.27,21.37,110.09,62.67,PM2.5,0,196,5
59.99,49.95,7.72,15.26,4.7,7.26,6.17,-130,283.45,34.77,101740.87,21.36,110.24,59.99,PM2.5,0,197,5
56.5,46.75,7.26,13.61,4.5,8.52,6.92,-129,283.44,32.67,101821.05,21.35,110.38,56.5,PM2.5,0,198,5
52.35,42.7,6.21,10.62,4.1,10.85,7.39,-132,283.44,30.66,101873.22,21.35,110.52,52.35,PM2.5,0,199,5
47.57,38.58,5.72,8.69,3.8,12.9,8.03,-136,284.1,35.14,101914.2,21.34,110.67,47.57,PM2.5,0,200,5
36.46,27.38,3.83,0.84,2.9,18.64,3.35,-78,283.68,88.48,90148.12,21.52,100.33,36.46,PM2.5,0,201,-1
40.96,30.79,4.18,1.19,3.1,17.28,2.85,-112,282.01,93.99,88347.48,21.52,100.47,40.96,PM2.5,0,202,-1
41.33,31.12,4.31,1.2,3.1,17.68,3.27,-151,281.82,90,90413.45,21.53,100.62,41.33,PM2.5,0,203,-1
