country,language,budget,gross,imdb_score,title_year,num_voted_users,num_critic_for_reviews,num_user_for_reviews,director_name,duration,genres,movie_title,content_rating
USA,English,200000000,334185206,6.5,2010,306320,29,13,Craig Moss,80,Comedy,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,R
USA,English,200000000,334185206,6.5,2010,306336,366,523,Noam Murro,102,Action|Drama|Fantasy|War,300: Rise of an Empire,R
USA,English,200000000,191450875,6.3,2011,101178,22,86,,60,Comedy|Family|Sci-Fi,3rd Rock from the Sun            ,TV-PG
USA,English,200000000,116593191,5.6,2011,223393,218,324,Carl Rinsch,128,Action|Adventure|Drama|Fantasy,47 Ronin,PG-13
USA,English,200000000,312057433,7,2010,522371,74,61,Renny Harlin,113,Action|Drama|War,5 Days of War,R
USA,English,200000000,408992272,7.2,2013,557489,327,378,Jonathan Levine,100,Comedy|Drama|Romance,50/50,R
USA,English,200000000,268488329,7.3,2013,235025,0,3,Jaco Booyens,90,Drama|Thriller,8 Days,PG-13
USA,English,200000000,90755643,6.6,2010,222403,28,30,Reed Cowan,80,Documentary,8: The Mormon Proposition,R
USA,English,200000000,105219735,6.7,2010,211765,12,29,Michael Polish,121,Drama,90 Minutes in Heaven,PG-13
UK,English,200000000,304360277,7.8,2012,522030,0,0,Mitchell Altieri,87,Comedy|Horror|Thriller,A Beginner's Guide to Snuff,
UK,English,200000000,304360277,7.8,2012,522048,94,81,Chris Weitz,98,Drama|Romance,A Better Life,PG-13
USA,English,200000000,202853933,6.7,2014,321227,345,190,David Cronenberg,99,Biography|Drama|Thriller,A Dangerous Method,R
USA,English,200000000,414984497,8.3,2010,544884,1,1,Jonathan Meyers,111,Drama,A Fine Step,PG
USA,English,200000000,233914986,8,2014,514125,412,503,John Moore,101,Action|Thriller,A Good Day to Die Hard,R
USA,English,195000000,65171860,6.3,2013,106416,69,48,Michael Tiddes,86,Comedy|Fantasy,A Haunted House 2,R
USA,English,195000000,352358779,6.3,2011,326180,129,107,Michael Tiddes,86,Comedy|Fantasy,A Haunted House,R
USA,English,190000000,350034110,7.2,2015,278232,43,11,Kief Davidson,93,Documentary,A Lego Brickumentary,G
USA,English,190000000,101785482,7,2013,381148,135,97,Julian Gilbey,99,Action|Adventure|Crime|Thriller,A Lonely Place to Die,R
USA,English,190000000,228756232,7.8,2013,395573,24,27,Tyler Perry,100,Comedy|Drama,A Madea Christmas,PG-13
USA,English,190000000,93417865,6.5,2015,128306,303,416,Seth MacFarlane,136,Comedy|Western,A Million Ways to Die in the West,R
USA,English,190000000,202351611,7,2013,465019,63,40,Bibo Bergeron,90,Adventure|Animation|Comedy|Fantasy|Music|Romance,A Monster in Paris,PG
USA,English,185000000,237282182,7.2,2012,273556,350,180,J.C. Chandor,125,Action|Crime|Drama|Thriller,A Most Violent Year,R
USA,English,185000000,130468626,7.5,2016,53607,291,158,Anton Corbijn,122,Crime|Drama|Thriller,A Most Wanted Man,R
USA,English,180000000,241407328,7,2014,252257,58,11,Pascal Chaumeil,104,Comedy|Romance,A Perfect Plan,
USA,English,180000000,303001229,7.9,2012,637246,13,3,Benjamin Roberds,76,Drama|Horror|Thriller,A Plague So Pleasant,
USA,English,180000000,124051759,6.6,2016,42372,354,264,Asghar Farhadi,123,Drama|Mystery,A Separation,PG-13
USA,English,180000000,124051759,6.6,2016,42372,6,6,Mabel Cheung,130,Drama,A Tale of Three Cities,
USA,English,178000000,100189501,7.9,2014,431620,70,93,Brian Robbins,91,Comedy|Drama,A Thousand Words,PG-13
USA,English,178000000,154985087,7.3,2016,148379,14,33,,105,Crime|Drama|Mystery,A Touch of Frost            ,
USA,English,176000000,47375327,5.4,2015,139593,0,4,Malcolm Goodwin,96,Comedy,A True Story,
USA,English,175000000,38297305,6.3,2013,116994,56,22,Ben Stassen,88,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures,PG
USA,English,175000000,356454367,8.3,2015,345198,161,93,Todd Strauss-Schulson,90,Adventure|Comedy,A Very Harold & Kumar 3D Christmas,R
USA,English,175000000,161087183,6.9,2016,118992,253,207,Scott Frank,114,Crime|Drama|Mystery|Thriller,A Walk Among the Tombstones,R
UK,English,175000000,362645141,7.8,2016,106072,5,7,Maksim Fadeev,85,Adventure|Animation|Fantasy,A Warrior's Tail,
UK,English,175000000,362645141,7.8,2016,106221,0,6,John Laing,86,Drama,Abandoned,
USA,English,170000000,76846624,6.4,2016,21352,15,38,Remo,160,Drama|Musical,ABCD (Any Body Can Dance),Not Rated
USA,English,170000000,259746958,7.8,2014,496749,180,173,John Singleton,106,Action|Mystery|Thriller,Abduction,PG-13
USA,English,170000000,208543795,7.6,2014,317542,90,42,Steve Pink,100,Comedy|Romance,About Last Night,R
USA,English,170000000,333130696,8.1,2014,682155,274,391,Richard Curtis,123,Drama|Fantasy|Romance,About Time,R
USA,English,170000000,73820094,7.5,2011,245333,393,348,Timur Bekmambetov,105,Action|Fantasy|Horror,Abraham Lincoln: Vampire Hunter,R
USA,English,170000000,155111815,6.1,2012,228554,125,136,Mike Flanagan,87,Drama|Horror|Mystery,Absentia,R
USA,English,170000000,206360018,7.1,2013,414070,56,28,David O. Russell,100,Comedy|Romance,Accidental Love,PG-13
USA,English,170000000,172051787,6.8,2010,264183,216,349,Mike McCoy,110,Action|Adventure|Drama|Thriller|War,Act of Valor,R
USA,English,170000000,172051787,6.8,2010,264186,9,33,Bille Woodruff,106,Drama|Thriller,Addicted,R
USA,English,165000000,222487711,7.9,2014,279093,150,87,Paul Weitz,107,Comedy|Drama|Romance,Admission,PG-13
USA,English,165000000,217387997,8.2,2010,485430,141,87,Anne Fontaine,112,Drama|Romance,Adore,R
USA,English,165000000,102315545,5.5,2016,58137,8,1,H.M. Coakley,91,Crime|Drama|Thriller,Adulterers,
USA,English,165000000,187991439,8.6,2014,928227,349,744,M. Night Shyamalan,100,Action|Adventure|Sci-Fi,After Earth,PG-13
USA,English,165000000,238371987,6.4,2010,138661,34,27,Ryan Smith,90,Fantasy|Horror|Mystery|Thriller,After,PG-13
USA,English,165000000,189412677,7.8,2012,272534,11,9,Richard Boddington,90,Adventure|Family,Against the Wild,PG
USA,English,160000000,292568851,8.8,2010,1468200,39,178,Raja Menon,130,Action|Drama|History|Thriller|War,Airlift,
USA,English,160000000,281666058,6.6,2015,166137,222,98,Rodrigo García,113,Drama,Albert Nobbs,R
USA,English,160000000,46978995,7.3,2016,111609,211,151,Rob Cohen,101,Action|Crime|Mystery|Thriller,Alex Cross,PG-13
USA,English,160000000,146405371,7.8,2011,518537,119,85,Miguel Arteta,81,Comedy|Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG
USA,English,155000000,89732035,6.6,2015,188457,451,736,Tim Burton,108,Adventure|Family|Fantasy,Alice in Wonderland,PG
USA,English,155000000,104383624,6.3,2010,106446,451,736,Tim Burton,108,Adventure|Family|Fantasy,Alice in Wonderland,PG
USA,English,150000000,400736600,7.6,2013,421658,218,131,James Bobin,113,Adventure|Family|Fantasy,Alice Through the Looking Glass,PG
USA,English,150000000,652177271,7,2015,418214,20,82,Dominic Burns,101,Comedy|Sci-Fi,Alien Uprising,R
USA,English,150000000,165230261,7.3,2011,182718,140,67,Andrew Jarecki,101,Crime|Drama|Mystery|Romance|Thriller,All Good Things,R
Australia,English,150000000,153629485,8.1,2015,552503,41,23,Phil Morrison,107,Comedy|Drama,All Is Bright,R
USA,English,150000000,21379315,5.4,2011,17590,346,312,J.C. Chandor,106,Action|Adventure|Drama,All Is Lost,PG-13
China,English,150000000,195000874,7.4,2015,232187,42,35,Jason Trost,78,Sci-Fi|Thriller,All Superheroes Must Die,Unrated
USA,English,150000000,34964818,5.8,2015,39956,181,144,Robert Schwentke,120,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant,PG-13
USA,English,150000000,34964818,5.8,2015,39956,10,20,Darren Lynn Bousman,97,Horror|Musical,Alleluia! The Devil's Carnival,
USA,English,150000000,34964818,5.8,2015,39975,56,11,Claudia Llosa,97,Drama,Aloft,R
USA,English,150000000,131564731,4.2,2010,118951,138,172,Cameron Crowe,105,Comedy|Drama|Romance,Aloha,PG-13
USA,English,150000000,63143812,6.1,2010,124185,138,172,Cameron Crowe,105,Comedy|Drama|Romance,Aloha,PG-13
USA,English,150000000,61937495,5.8,2010,89442,17,2,Zoran Lisinac,108,Comedy|Music|Romance,Along the Roadside,
USA,English,150000000,181015141,7,2011,536314,2,6,Richard Rich,45,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Alpha and Omega 4: The Legend of the Saw Toothed Cave,
India,Tamil,150000000,0,5.1,2015,563,84,84,Anthony Bell,90,Adventure|Animation|Comedy|Family|Romance,Alpha and Omega,PG
USA,English,150000000,73103784,6.4,2013,164238,91,56,Mike Mitchell,87,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: Chipwrecked,G
USA,English,150000000,83640426,5.8,2012,152826,70,53,Walt Becker,92,Adventure|Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Road Chip,PG
USA,English,145000000,176997107,7.9,2014,221128,5,6,Rita Merson,97,Comedy|Music|Romance,Always Woodstock,
USA,English,145000000,143523463,7.2,2016,64322,0,0,Patrick Gilles,90,History,America Is Still the Place,
USA,English,145000000,216366733,6.9,2012,119213,30,42,Sarik Andreasyan,94,Action|Crime|Drama|Thriller,American Heist,R
USA,English,145000000,209364921,7.4,2011,365104,16,23,Nick Love,86,Action|Comedy|Drama|Sci-Fi,American Hero,
USA,English,145000000,111505642,6.9,2014,47900,538,751,David O. Russell,138,Crime|Drama,American Hustle,R
USA,English,145000000,103400692,7.3,2012,123553,291,181,Jon Hurwitz,113,Comedy,American Reunion,R
USA,English,144000000,118099659,5.5,2016,69757,490,916,Clint Eastwood,133,Action|Biography|Drama|History|Thriller|War,American Sniper,R
USA,English,144000000,118099659,5.5,2016,69790,0,0,Daniel Columbie,90,Action|Crime|Drama,Amidst the Devil's Wings,
USA,English,140000000,176636816,6.9,2011,508818,35,8,John Sayles,124,Drama|War,Amigo,R
UK,English,140000000,65007045,6.1,2014,128682,30,15,Michael Polish,90,Drama|Horror|Mystery|Thriller,Amnesiac,
UK,English,140000000,65007045,6.1,2014,128694,447,190,Michael Haneke,127,Drama|Romance,Amour,PG-13
USA,English,140000000,31141074,5.5,2016,51892,3,3,Sai Varadan,89,Drama,An American in Hollywood,R
UK,English,140000000,52792307,6.8,2016,12572,272,346,Adam McKay,143,Comedy,Anchorman 2: The Legend Continues,PG-13
Australia,English,135000000,63992328,5.9,2011,32399,107,48,Rob Reiner,94,Comedy|Drama|Romance,And So It Goes,PG-13
USA,English,135000000,177343675,6.7,2015,70121,8,7,Jerome Elston Scott,98,Comedy|Drama|Romance,Anderson's Cross,R
USA,English,135000000,177343675,6.7,2015,70133,26,54,,22,Comedy|Romance,Anger Management            ,
USA,English,135000000,177343675,6.7,2015,70136,9,5,Jamel Debbouze,101,Adventure|Animation|Comedy|Family,Animal Kingdom: Let's go Ape,
USA,English,135000000,123207194,7.2,2011,183208,8,23,,60,Crime|Drama,Animal Kingdom            ,
USA,English,135000000,81638674,6.3,2016,17533,36,44,Reinhard Klooss,93,Animation|Comedy|Family,Animals United,PG
USA,English,135000000,77564037,7.4,2011,177383,22,8,Collin Schiffli,90,Drama,Animals,
USA,English,135000000,187165546,7.3,2013,150618,324,226,Joe Wright,129,Drama|Romance,Anna Karenina,R
USA,English,135000000,183635922,8.1,2015,406020,271,291,John R. Leonetti,99,Horror|Mystery,Annabelle,R
USA,English,135000000,83024900,6.5,2013,62424,2,74,,199,Drama|Family,Anne of Green Gables            ,TV-G
USA,English,132000000,83348920,6.7,2014,60230,176,213,Will Gluck,118,Comedy|Drama|Family|Musical,Annie,PG
USA,English,130000000,60522097,4.9,2013,158720,328,140,Duke Johnson,90,Animation|Comedy|Drama|Romance,Anomalisa,R
USA,English,130000000,180191634,7.4,2015,313866,288,136,Roland Emmerich,130,Drama|History|Thriller,Anonymous,PG-13
USA,English,130000000,122512052,5.8,2013,146352,242,228,Mike Cahill,92,Drama|Romance|Sci-Fi,Another Earth,PG-13
USA,English,130000000,148337537,7.3,2010,172754,46,42,Sam Levinson,119,Comedy|Drama,Another Happy Day,R
USA,English,130000000,126464904,7,2012,456260,248,141,Mike Leigh,129,Comedy|Drama,Another Year,PG-13
USA,English,130000000,149234747,6.7,2011,114287,5,2,Dena Seidel,72,Adventure|Documentary,Antarctic Edge: 70° South,
USA,English,130000000,33592415,5.6,2013,91640,31,16,Anthony Powell,91,Adventure|Biography|Documentary|Drama,Antarctica: A Year on Ice,PG
USA,English,130000000,424645577,7.6,2013,498397,10,2,Danny Perez,94,Horror,Antibirth,
USA,English,127000000,113733726,6.2,2014,67223,188,47,Brandon Cronenberg,108,Horror|Sci-Fi|Thriller,Antiviral,Not Rated
USA,English,125000000,163192114,5.8,2010,229679,517,549,Peyton Reed,117,Action|Adventure|Comedy|Sci-Fi,Ant-Man,PG-13
USA,English,125000000,163192114,5.8,2010,229687,228,323,Gonzalo López-Gallego,86,Horror|Mystery|Sci-Fi|Thriller,Apollo 18,PG-13
USA,English,125000000,209805005,7.3,2011,284792,288,145,Nicholas Jarecki,107,Drama|Thriller,Arbitrage,R
USA,English,125000000,101160529,5.8,2014,200022,3,3,Sharon Greytak,94,Drama,Archaeology of a Woman,
USA,English,125000000,186830669,7.5,2011,338635,56,55,Oren Peli,91,Horror|Sci-Fi|Thriller,Area 51,R
USA,English,125000000,190871240,5.9,2014,167085,656,695,Ben Affleck,130,Biography|Drama|History|Thriller,Argo,R
USA,English,125000000,190871240,5.9,2014,167089,16,9,Deborah Anderson,66,Documentary,Aroused,
USA,English,125000000,113165635,6.7,2012,229823,190,78,Sarah Smith,97,Adventure|Animation|Comedy|Family|Fantasy,Arthur Christmas,PG
USA,English,125000000,337103873,6.7,2014,305008,3,43,,30,Animation|Comedy|Family,Arthur            ,TV-Y
USA,English,120000000,56114221,4.3,2015,110486,196,211,John Erick Dowdle,93,Horror|Mystery|Thriller,"As Above, So Below",R
USA,English,120000000,56114221,4.3,2015,110486,8,64,Allison Burnett,100,Drama,Ask Me Anything,Not Rated
USA,English,120000000,30212620,5.3,2010,35066,23,122,John Putch,111,Drama|Mystery|Sci-Fi,Atlas Shrugged II: The Strike,PG-13
UK,English,120000000,108521835,7.1,2016,40123,12,56,James Manera,99,Drama|Mystery|Sci-Fi,Atlas Shrugged: Who Is John Galt?,PG-13
USA,English,120000000,124976634,8,2012,440084,399,297,Joe Cornish,88,Action|Comedy|Sci-Fi|Thriller,Attack the Block,R
USA,English,120000000,89021735,7,2013,387436,322,285,John Wells,121,Drama,August: Osage County,R
USA,English,120000000,98780042,5.8,2011,136019,10,13,Eldar Rapaport,99,Drama|Romance,August,Not Rated
USA,English,120000000,292298923,5.5,2012,185394,136,134,Gabe Ibáñez,109,Action|Sci-Fi|Thriller,Automata,R
USA,English,120000000,292298923,5.5,2012,185394,635,1117,Joss Whedon,141,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,PG-13
USA,English,120000000,132550960,6.7,2013,328067,6,8,Christian Sesma,82,Thriller,AWOL-72,R
USA,English,117000000,76418654,6.3,2010,148280,44,410,S.S. Rajamouli,159,Action|Adventure|Drama|Fantasy|War,Baahubali: The Beginning,
USA,English,115000000,93050117,6.6,2013,338087,156,129,Leslye Headland,87,Comedy|Romance,Bachelorette,R
USA,English,115000000,47952020,6.1,2016,37750,157,162,Jeff Tremaine,102,Comedy,Bad Grandpa,R
USA,English,112000000,42776259,4.9,2010,53160,81,46,Jon Lucas,100,Comedy,Bad Moms,R
USA,English,110000000,106369117,6.2,2014,225273,81,46,Jon Lucas,100,Comedy,Bad Moms,R
USA,English,110000000,66002193,5.8,2016,44296,286,296,Jake Kasdan,97,Comedy,Bad Teacher,R
USA,English,110000000,61656849,6.7,2013,184561,126,119,Jason Bateman,89,Comedy|Drama,Bad Words,R
USA,English,110000000,129995817,6.3,2015,154621,52,41,David E. Talbert,96,Comedy,Baggage Claim,PG-13
USA,English,110000000,85463309,7.1,2011,254841,145,82,Kimble Rendall,93,Action|Horror|Sci-Fi,Bait,R
USA,English,110000000,118311368,6.4,2010,245621,16,16,Jeffrey St. Jules,90,Drama|Musical|Sci-Fi,Bang Bang Baby,
USA,English,110000000,155181732,6.1,2015,147497,78,56,Blair Erickson,87,Horror|Thriller,Banshee Chapter,R
USA,English,110000000,142614158,5.5,2011,66593,17,1,Eric Lavaine,98,Comedy,Barbecue,
USA,English,108000000,228430993,8.1,2015,472488,1,1,Shekar,,Comedy|Romance,Barfi,
USA,English,105000000,28772222,5.3,2015,33953,193,87,Richard J. Lewis,134,Comedy|Drama,Barney's Version,R
USA,English,105000000,28772222,5.3,2015,33958,34,20,Chris D'Arienzo,95,Comedy|Drama|Romance,Barry Munday,R
Australia,English,105000000,144812796,7.3,2013,362912,673,3018,Zack Snyder,183,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,PG-13
Australia,English,105000000,144812796,7.3,2013,362933,44,55,Jay Oliva,148,Action|Animation|Crime|Sci-Fi|Thriller,"Batman: The Dark Knight Returns, Part 2",PG-13
USA,English,105000000,71017784,5.4,2013,27257,355,800,Jonathan Liebesman,116,Action|Sci-Fi,Battle Los Angeles,PG-13
USA,English,103000000,131536019,6.4,2014,58498,65,25,Benson Lee,110,Drama|Music,Battle of the Year,PG-13
Germany,English,102000000,27098580,7.5,2012,284825,377,751,Peter Berg,131,Action|Adventure|Sci-Fi|Thriller,Battleship,PG-13
UK,English,100000000,46440491,7.1,2011,35446,148,129,Daniel Barnz,86,Drama|Fantasy|Romance,Beastly,PG-13
USA,English,100000000,0,6.1,2016,62,663,269,Benh Zeitlin,93,Drama|Fantasy,Beasts of the Southern Wild,PG-13
USA,English,100000000,0,6,2016,67,231,258,Richard LaGravenese,124,Drama|Fantasy|Romance,Beautiful Creatures,PG-13
USA,English,100000000,79711678,6.2,2012,199039,149,105,Rowan Joffe,92,Drama|Mystery|Thriller,Before I Go to Sleep,R
USA,English,100000000,162804648,8.5,2012,955174,405,270,Richard Linklater,109,Drama|Romance,Before Midnight,R
USA,English,100000000,107515297,6.7,2013,85833,283,182,John Carney,104,Drama|Music,Begin Again,R
UK,English,100000000,274084951,7.8,2013,582917,261,142,Mike Mills,105,Comedy|Drama|Romance,Beginners,R
France,English,100000000,35024475,6.9,2010,110364,18,11,Justin Thomas Ostensen,99,Thriller,Below Zero,R
USA,English,100000000,72660029,6,2014,115687,10,10,Dave Carroll,92,Documentary,Bending Steel,
USA,English,100000000,72660029,6,2014,115687,17,39,Jeremy Sims,122,Drama|History|War,Beneath Hill 60,R
USA,English,100000000,24985612,7,2015,71782,1,1,Timur Bekmambetov,141,Adventure|Drama|History,Ben-Hur,PG-13
USA,English,100000000,148383780,5.5,2010,85531,1,1,Timur Bekmambetov,141,Adventure|Drama|History,Ben-Hur,PG-13
USA,English,100000000,58607007,6.2,2014,182899,1,1,Timur Bekmambetov,141,Adventure|Drama|History,Ben-Hur,PG-13
USA,English,100000000,58607007,6.2,2014,182910,231,136,Richard Linklater,99,Comedy|Crime|Drama,Bernie,PG-13
USA,English,100000000,95328937,4.3,2010,59581,31,71,,25,Comedy|Family|Fantasy,Bewitched            ,TV-G
USA,English,100000000,119219978,6.7,2010,189806,97,82,Panos Cosmatos,110,Sci-Fi|Thriller,Beyond the Black Rainbow,R
USA,English,100000000,67631157,6,2010,176598,71,37,Gina Prince-Bythewood,116,Drama|Music,Beyond the Lights,PG-13
USA,English,100000000,67631157,6,2010,176606,325,147,Tim Burton,106,Biography|Crime|Drama|Romance,Big Eyes,PG-13
USA,English,100000000,116866727,8.2,2013,780588,384,433,Don Hall,102,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6,PG
UK,English,100000000,23014504,6.3,2014,172707,125,66,Ken Kwapis,107,Biography|Drama|Romance,Big Miracle,PG
USA,English,100000000,81557479,6.8,2010,149947,88,47,John Whitesell,113,Action|Comedy|Crime,"Big Mommas: Like Father, Like Son",PG-13
USA,English,99000000,130174897,7.2,2015,27918,588,1101,Alejandro G. Iñárritu,119,Comedy|Drama|Romance,Birdman or (The Unexpected Virtue of Ignorance),R
USA,English,95000000,201148159,7,2015,103737,288,127,Alejandro G. Iñárritu,148,Drama,Biutiful,R
USA,English,95000000,201148159,7,2015,103749,9,1,Étienne Faure,98,Drama|Musical|Romance,Bizarre,Unrated
USA,English,95000000,161317423,6.6,2012,145321,391,289,Scott Cooper,123,Biography|Crime|Drama,Black Mass,R
UK,English,95000000,88761720,5.9,2010,141179,40,17,Kasi Lemmons,93,Drama|Family|Music|Musical,Black Nativity,PG
USA,English,95000000,17176900,5.5,2014,54501,6,4,Jeta Amata,95,Action|Crime|Drama|Thriller,Black November,
USA,English,95000000,86897182,6.2,2012,106790,91,57,Mike Binder,121,Drama,Black or White,PG-13
China,Mandarin,94000000,9213,7.6,2011,38690,95,47,Katie Aselton,83,Horror|Thriller,Black Rock,R
USA,English,93000000,176740650,7.6,2011,403836,669,1140,Darren Aronofsky,108,Drama|Thriller,Black Swan,R
USA,English,92000000,67344392,5.3,2013,165618,261,207,Michael Mann,133,Action|Crime|Drama|Mystery|Thriller,Blackhat,R
USA,English,92000000,85017401,6.7,2012,246803,92,40,Mateo Gil,102,Action|Adventure|Western,Blackthorn,R
USA,English,90000000,85884815,5,2015,9418,7,2,Dylan Bank,100,Horror,Bleeding Hearts,
USA,English,90000000,64685359,6.9,2016,40862,173,184,Frank Coraci,117,Comedy|Romance,Blended,PG-13
USA,English,90000000,68558662,5.9,2013,86627,20,3,Jeb Stuart,128,Drama,Blood Done Sign My Name,PG-13
USA,English,90000000,143618384,7,2011,165333,91,41,Guillaume Canet,144,Crime|Drama|Thriller,Blood Ties,R
USA,English,90000000,39292022,6.1,2014,127258,415,384,Woody Allen,98,Drama,Blue Jasmine,PG-13
USA,English,90000000,102515793,7.8,2011,330152,38,89,Steve Taylor,108,Comedy|Drama,Blue Like Jazz,PG-13
USA,English,90000000,27356090,6,2015,58752,279,135,Jeremy Saulnier,90,Crime|Drama|Thriller,Blue Ruin,R
UK,English,90000000,190562,4.4,2010,2508,377,283,Derek Cianfrance,112,Drama|Romance,Blue Valentine,R
USA,English,90000000,58229120,7.3,2013,236421,68,173,,40,Comedy|Crime|Drama|Mystery|Romance,Bones            ,TV-14
USA,English,88000000,78747585,5.6,2015,89770,8,3,Vicky Jewson,109,Action|Drama|Thriller|War,Born of War,R
USA,English,85000000,43575716,4.3,2010,10233,10,10,Catherine Gund,82,Action|Biography|Documentary|Sport,Born to Fly: Elizabeth Streb vs. Gravity,
USA,English,85000000,150832203,6.7,2014,341058,548,836,Richard Linklater,165,Drama,Boyhood,R
USA,English,85000000,148313048,7.1,2012,164148,7,28,,44,Comedy|Drama|Horror|Sci-Fi|Thriller,BrainDead            ,
USA,English,85000000,64933670,5.6,2012,70838,488,428,Mark Andrews,93,Adventure|Animation|Comedy|Family|Fantasy,Brave,PG
USA,English,85000000,126149655,6.8,2012,166693,177,112,Camille Delamarre,100,Action|Crime|Drama|Thriller,Brick Mansions,PG-13
USA,English,84000000,53215979,6.7,2013,125036,371,485,Paul Feig,131,Comedy|Romance,Bridesmaids,R
USA,English,82000000,36381716,6.1,2011,197584,459,355,Steven Spielberg,142,Drama|History|Thriller,Bridge of Spies,PG-13
France,English,81200000,1339152,7.8,2015,28276,136,59,Rowan Joffe,111,Crime|Drama|Thriller,Brighton Rock,R
UK,English,80000000,43290977,6.6,2010,75201,298,134,Allen Hughes,109,Crime|Drama|Thriller,Broken City,R
USA,English,80000000,133668525,5.4,2013,107817,22,20,Vidhu Vinod Chopra,101,Action|Crime|Drama|Mystery|Thriller,Broken Horses,R
USA,English,80000000,162001186,6,2010,181443,351,212,John Crowley,111,Drama|Romance,Brooklyn,PG-13
USA,English,80000000,169692572,6.7,2015,56501,10,19,Jamal Hill,89,Drama,Brotherly Love,R
USA,English,80000000,103028109,6.4,2011,172878,49,64,Tom Brady,97,Comedy,Bucky Larson: Born to Be a Star,R
USA,English,80000000,55673333,7,2010,65785,26,7,Jorge Ramírez Suárez,120,Drama,"Buen Día, Ramón",PG-13
Canada,English,80000000,23219748,5.6,2014,84508,96,665,,44,Action|Drama|Fantasy|Romance,Buffy the Vampire Slayer            ,TV-14
USA,English,80000000,127968405,8.1,2010,786092,279,131,Walter Hill,92,Action|Thriller,Bullet to the Head,R
USA,English,80000000,94822707,6.9,2010,227072,363,447,Rodrigo Cortés,95,Drama|Mystery|Thriller,Buried,R
USA,English,80000000,102981571,6.5,2010,270226,197,222,Steve Antin,119,Drama|Music|Musical|Romance,Burlesque,PG-13
USA,English,80000000,254455986,6.5,2011,375879,22,6,Tom Putnam,86,Documentary,Burn,Not Rated
USA,English,80000000,36073232,5.2,2013,8913,175,129,John Wells,101,Comedy|Drama,Burnt,R
USA,English,80000000,100169068,4.6,2010,16385,0,1,Cary Bell,78,Documentary,Butterfly Girl,
