Name,Miles_per_Gallon,Horsepower
mazda glc custom,31,68
plymouth horizon miser,38,63
mercury lynx l,36,70
nissan stanza xe,36,88
honda Accelerationord,36,75
toyota corolla,34,70
honda civic,38,67
honda civic (auto),32,67
datsun 310 gx,38,67
buick century limited,25,110
oldsmobile cutlass ciera (diesel),38,85
chrysler lebaron medallion,26,92
ford granada l,22,112
toyota celica gt,32,96
dodge charger 2.2,36,84
chevrolet camaro,27,90
ford mustang gl,27,86
vw pickup,44,52
dodge rampage,32,84
ford ranger,28,79
chevy s-10,31,82
